Altium Designer Pick and Place Locations
C:\Users\akkoyun\Documents\Github\B302\Output\Pick Place\Pick Place for B302.txt

========================================================================================================================
File Design Information:

Date:       26.02.26
Time:       12:34
Revision:   2a29d2a2c5ea99293c8518b37c0bf4a53d765381
Variant:    No variations
Units used: mil

Designator Comment                                   Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                           "Manufacturer Name"  "Manufacturer Part Number" 
J2         "2.54 mm Pitch 8P Male Connector"         BottomLayer Pin_Header_1x10_TH_Pitch_2.54mm 0.000         2224.409      0        "Headers & Wire Housings BREAKAWAY HDR VERT 8"                        Molex                22-28-4103                 
U16        LTV-846S                                  TopLayer    SOIC-4                          452.756       1417.323      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"        OnSemi               MB10S                      
U15        VOM617A-4T                                TopLayer    SOP-4V2                         452.756       748.032       270      "Transistor Output Optocouplers Phototransistor Out CTR 160-320% 5mA" Vishay               VOM617A-4T                 
U14        LTV-846S                                  BottomLayer SOIC-4                          452.756       1417.323      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"        OnSemi               MB10S                      
U13        VOM617A-4T                                BottomLayer SOP-4V2                         452.756       748.032       270      "Transistor Output Optocouplers Phototransistor Out CTR 160-320% 5mA" Vishay               VOM617A-4T                 
U12        LTV-846S                                  TopLayer    SOIC-4                          147.638       1417.323      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"        OnSemi               MB10S                      
U11        VOM617A-4T                                TopLayer    SOP-4V2                         147.638       748.032       270      "Transistor Output Optocouplers Phototransistor Out CTR 160-320% 5mA" Vishay               VOM617A-4T                 
U8         LTV-846S                                  TopLayer    SOIC-4                          -147.638      1417.323      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"        OnSemi               MB10S                      
U4         LTV-846S                                  TopLayer    SOIC-4                          -452.756      1417.323      270      "Transistor Output Optocouplers Optocplr Phototrans 4-Channel"        OnSemi               MB10S                      
D24        SMAJ440A                                  TopLayer    DO-220AA-2                      433.976       1653.543      180      "ESD Protection Diodes / TVS Diodes 440volts 1uA .6 Amps Uni-Dir"     Bourns               SMAJ440A                   
D23        BZT52H-B5V1,115                           TopLayer    SOD-123F-2                      452.756       944.882       0        "Zener Diodes BZT52H-B5V1/SOD123F/SOD2"                               Nexperia             BZT52H-B5V1,115            
D22        "SMD LED (Red)"                           TopLayer    LED_0402                        275.591       334.646       90       "Standard LEDs - SMD MINI-MOLD ULTRA COMPACT RED"                     "ROHM Semiconductor" SML-P12VTT86R              
D21        SMAJ440A                                  BottomLayer DO-220AA-2                      471.535       1653.543      0        "ESD Protection Diodes / TVS Diodes 440volts 1uA .6 Amps Uni-Dir"     Bourns               SMAJ440A                   
D20        BZT52H-B5V1,115                           BottomLayer SOD-123F-2                      452.756       944.882       180      "Zener Diodes BZT52H-B5V1/SOD123F/SOD2"                               Nexperia             BZT52H-B5V1,115            
D18        SMAJ440A                                  TopLayer    DO-220AA-2                      128.858       1653.543      180      "ESD Protection Diodes / TVS Diodes 440volts 1uA .6 Amps Uni-Dir"     Bourns               SMAJ440A                   
D16        "SMD LED (Red)"                           TopLayer    LED_0402                        118.110       334.646       90       "Standard LEDs - SMD MINI-MOLD ULTRA COMPACT RED"                     "ROHM Semiconductor" SML-P12VTT86R              
D11        BZT52H-B5V1,115                           TopLayer    SOD-123F-2                      -147.638      944.882       0        "Zener Diodes BZT52H-B5V1/SOD123F/SOD2"                               Nexperia             BZT52H-B5V1,115            
